period,时期,气象模型_R2,气象模型_RMSE,高精度模型_R2,高精度模型_RMSE,高精度较气象_RMSE降低,气象残差均值,气象残差中位数,负残差占比,气象测试起点,气象测试终点,气象测试样本,高精度残差均值,高精度负残差占比
pre_covid_2018_2019,疫情前 2018-2019,0.32169993650293205,34.42648736731899,0.9925963134321621,3.597618180283421,30.828869187035572,-10.8150598360996,-9.475730067941065,0.6845802599227256,2019-09-13 12:00:00,2019-12-31 23:00:00,34164,0.13510847185067207,0.5063443223443224
covid_2020_2022,疫情期 2020-2022,0.501241416573832,26.482415278873525,0.9932183369903232,3.088022832717929,23.394392446155596,6.0017821092122645,2.649090410961504,0.41763811454637606,2022-07-20 14:00:00,2022-12-31 23:00:00,51298,0.0698724910533234,0.5040547389761784
post_covid_2023_plus,疫情后 2023+,0.6913818807941057,26.836551260059935,0.9971321956403895,2.586966200119448,24.249585059940486,0.8769255252648512,-3.7308582261157746,0.5883784293229604,2025-11-25 18:00:00,2026-05-31 18:00:00,58357,0.2933303164261726,0.43852494130952585
