mae,rmse,r2,bias,period,period_label,target_kind,target_label,holdout_city,holdout_start,train_rows,test_rows,observed_mean,predicted_mean,feature_count,transformed_feature_count,n_estimators,target_meta,calibration_scope
16.527030452179964,21.249913014008524,0.24309553808029105,13.02460664295701,covid_2020_2022,疫情期,raw,PM2.5 原值,Qinhuangdao,2022-01-01 00:00:00,210528,8760,27.89600372314453,40.920611209167056,248,266,598,"{""target_kind"": ""raw""}",training_rows_only
14.341260038322726,19.822623705557465,0.6644853987822616,5.642774041729498,covid_2020_2022,疫情期,raw,PM2.5 原值,Shijiazhuang,2022-01-01 00:00:00,210528,8760,46.26033020019531,51.903105091957805,248,266,598,"{""target_kind"": ""raw""}",training_rows_only
12.4312991973875,19.689603345810642,0.6078419686823595,-0.7762233758672263,covid_2020_2022,疫情期,raw,PM2.5 原值,Tangshan,2022-01-01 00:00:00,210528,8760,37.21244430541992,36.43621954672494,248,266,598,"{""target_kind"": ""raw""}",training_rows_only
13.73092804293658,20.62771263729689,0.6013730897694405,2.6522003599748207,covid_2020_2022,疫情期,raw,PM2.5 原值,Tianjin,2022-01-01 00:00:00,210528,8760,36.966552734375,39.61875287139034,248,265,598,"{""target_kind"": ""raw""}",training_rows_only
17.14453972897144,24.421226135191,0.6598262636878791,3.4768681206513903,covid_2020_2022,疫情期,raw,PM2.5 原值,Xingtai,2022-01-01 00:00:00,210528,8760,48.73995590209961,52.2168224586598,248,266,598,"{""target_kind"": ""raw""}",training_rows_only
12.833260453951407,17.688678236356438,0.1418429087007178,9.560691104617401,covid_2020_2022,疫情期,raw,PM2.5 原值,Zhangjiakou,2022-01-01 00:00:00,210528,8760,17.974029541015625,27.534720784982703,248,266,598,"{""target_kind"": ""raw""}",training_rows_only
20.9489887620115,29.53479135924933,0.47746107170457897,-4.425217052512801,post_covid_2023_plus,疫情后,anomaly,同城同月同小时气候态异常,Baoding,2025-06-01 00:00:00,254016,8755,57.634666442871094,53.209448796766154,248,266,600,"{""target_kind"": ""anomaly"", ""climatology_global_train"": 39.099998474121094, ""climatology_global_train_valid"": 39.099998474121094}",training_rows_only
42.48675445814141,62.840708824923674,-0.04070894965537941,-36.78357580364445,post_covid_2023_plus,疫情后,anomaly,同城同月同小时气候态异常,Beijing,2025-06-01 00:00:00,254016,8755,85.41596221923828,48.63238073344321,248,265,600,"{""target_kind"": ""anomaly"", ""climatology_global_train"": 38.5, ""climatology_global_train_valid"": 38.5}",training_rows_only
19.51400264750522,27.289424928671846,0.3417292957474204,-1.424268140884556,post_covid_2023_plus,疫情后,anomaly,同城同月同小时气候态异常,Cangzhou,2025-06-01 00:00:00,254016,8755,44.686214447021484,43.261945435003646,248,266,600,"{""target_kind"": ""anomaly"", ""climatology_global_train"": 39.79999923706055, ""climatology_global_train_valid"": 39.79999923706055}",training_rows_only
22.141298335748274,25.06455287981399,-0.15482722956370276,18.81919925006275,post_covid_2023_plus,疫情后,anomaly,同城同月同小时气候态异常,Chengde,2025-06-01 00:00:00,254016,8755,30.26790428161621,49.08710330264871,248,266,600,"{""target_kind"": ""anomaly"", ""climatology_global_train"": 41.400001525878906, ""climatology_global_train_valid"": 41.400001525878906}",training_rows_only
23.66406742867024,35.74597449866764,0.1686183522460959,-13.67506600054414,post_covid_2023_plus,疫情后,anomaly,同城同月同小时气候态异常,Handan,2025-06-01 00:00:00,254016,8755,58.90935134887695,45.23428860566027,248,266,600,"{""target_kind"": ""anomaly"", ""climatology_global_train"": 38.5, ""climatology_global_train_valid"": 38.5}",training_rows_only
21.04361278609988,29.468525077848533,0.2861725447428435,-2.151475318931115,post_covid_2023_plus,疫情后,anomaly,同城同月同小时气候态异常,Hengshui,2025-06-01 00:00:00,254016,8755,46.15507888793945,44.003601782761635,248,266,600,"{""target_kind"": ""anomaly"", ""climatology_global_train"": 39.599998474121094, ""climatology_global_train_valid"": 39.599998474121094}",training_rows_only
21.86493062828343,32.07998483534981,0.3568346301083276,-10.46148291879283,post_covid_2023_plus,疫情后,anomaly,同城同月同小时气候态异常,Langfang,2025-06-01 00:00:00,254016,8755,54.72307205200195,44.261589587481794,248,266,600,"{""target_kind"": ""anomaly"", ""climatology_global_train"": 39.29999923706055, ""climatology_global_train_valid"": 39.29999923706055}",training_rows_only
19.256712982852825,23.871573481117885,0.06427088711885498,12.300041561810907,post_covid_2023_plus,疫情后,anomaly,同城同月同小时气候态异常,Qinhuangdao,2025-06-01 00:00:00,254016,8755,32.846954345703125,45.146997578365664,248,266,600,"{""target_kind"": ""anomaly"", ""climatology_global_train"": 40.70000076293945, ""climatology_global_train_valid"": 40.70000076293945}",training_rows_only
24.800071030354957,35.01481490771991,0.30945811589226924,-15.738812015279434,post_covid_2023_plus,疫情后,anomaly,同城同月同小时气候态异常,Shijiazhuang,2025-06-01 00:00:00,254016,8755,66.29170227050781,50.55289555422087,248,266,600,"{""target_kind"": ""anomaly"", ""climatology_global_train"": 38.900001525878906, ""climatology_global_train_valid"": 38.900001525878906}",training_rows_only
19.328882699208858,26.579092662308405,0.4237796942386993,-4.662588886758253,post_covid_2023_plus,疫情后,anomaly,同城同月同小时气候态异常,Tangshan,2025-06-01 00:00:00,254016,8755,48.9188232421875,44.256234623394846,248,266,600,"{""target_kind"": ""anomaly"", ""climatology_global_train"": 39.70000076293945, ""climatology_global_train_valid"": 39.70000076293945}",training_rows_only
28.67765590874295,45.90918850266453,0.15479648581262773,-19.77658892432319,post_covid_2023_plus,疫情后,anomaly,同城同月同小时气候态异常,Tianjin,2025-06-01 00:00:00,254016,8755,62.82889175415039,43.052297397437414,248,265,600,"{""target_kind"": ""anomaly"", ""climatology_global_train"": 39.099998474121094, ""climatology_global_train_valid"": 39.099998474121094}",training_rows_only
18.61163050161584,25.964634289708805,0.35571402786893325,-4.8557043822074375,post_covid_2023_plus,疫情后,anomaly,同城同月同小时气候态异常,Xingtai,2025-06-01 00:00:00,254016,8755,50.99542236328125,46.139715344312066,248,266,600,"{""target_kind"": ""anomaly"", ""climatology_global_train"": 39.20000076293945, ""climatology_global_train_valid"": 39.20000076293945}",training_rows_only
19.33428400724092,22.441336391233374,-0.763126268323093,16.272177543304885,post_covid_2023_plus,疫情后,anomaly,同城同月同小时气候态异常,Zhangjiakou,2025-06-01 00:00:00,254016,8755,23.978254318237305,40.25042996319723,248,266,600,"{""target_kind"": ""anomaly"", ""climatology_global_train"": 41.900001525878906, ""climatology_global_train_valid"": 41.900001525878906}",training_rows_only
