city,date,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,boundary_layer_height,pressure_msl
Baoding,2022-08-01,,28.77916666666667,78.75,5.854166666666667,435.21556141666673,1004.7791666666667
Baoding,2022-08-02,,29.395833333333332,78.58333333333333,6.2625,425.26578804166667,1005.5833333333334
Baoding,2022-08-03,,29.72083333333333,77.54166666666667,7.370833333333334,472.83113375,1005.6125000000001
Baoding,2022-08-04,82.9875,30.308333333333334,79.04166666666667,7.883333333333333,449.38603175000003,1003.7291666666666
Baoding,2022-08-05,84.0,30.775000000000002,80.95833333333333,5.995833333333334,376.18412125000003,1001.875
Baoding,2022-08-06,81.64999999999999,29.295833333333334,87.91666666666667,6.279166666666666,285.8813433333333,1001.1208333333334
Baoding,2022-08-07,59.8375,27.65833333333333,88.66666666666667,4.929166666666666,197.27692354166666,999.775
Baoding,2022-08-08,46.42083333333333,26.3875,78.125,14.575000000000001,522.77113225,1006.0958333333333
Baoding,2022-08-09,33.25833333333333,20.537499999999998,86.5,9.833333333333334,285.467746875,1009.6291666666666
Baoding,2022-08-10,31.979166666666668,22.254166666666666,81.91666666666667,9.408333333333333,316.9801977083333,1006.9333333333334
Baoding,2022-08-11,33.829166666666666,24.516666666666666,83.08333333333333,8.225,341.238161,1003.6333333333333
Baoding,2022-08-12,57.3375,26.141666666666666,85.5,5.625,260.24292629166666,1003.2375000000001
Baoding,2022-08-13,46.237500000000004,27.491666666666664,80.54166666666667,9.458333333333334,389.645204375,1003.5
Baoding,2022-08-14,29.099999999999998,26.162499999999998,91.66666666666667,6.1625000000000005,220.27550558333334,1000.2208333333333
Baoding,2022-08-15,37.891666666666666,27.541666666666668,80.16666666666667,5.3500000000000005,259.66662525,1000.0541666666667
Baoding,2022-08-16,29.912499999999998,25.820833333333336,63.041666666666664,7.491666666666667,488.38840925,1006.6166666666667
Baoding,2022-08-17,49.479166666666664,26.358333333333334,78.33333333333333,7.404166666666666,489.03353124999995,1006.1458333333334
Baoding,2022-08-18,75.91250000000001,25.479166666666668,92.25,6.204166666666667,258.0965855,1001.1041666666666
Baoding,2022-08-19,52.62083333333334,26.820833333333336,77.83333333333333,6.583333333333333,344.4041535833333,1001.2041666666668
Baoding,2022-08-20,35.862500000000004,24.679166666666664,76.25,8.025,379.08368591666664,1008.125
Baoding,2022-08-21,47.1625,26.150000000000002,78.0,7.479166666666667,397.85739775,1002.0583333333334
Baoding,2022-08-22,43.45416666666667,26.429166666666664,74.125,11.429166666666667,580.2148910833333,1002.1541666666667
Baoding,2022-08-23,21.925,22.695833333333336,55.875,7.6875,474.17638791666667,1014.2833333333333
Baoding,2022-08-24,48.06666666666666,21.895833333333332,65.33333333333333,8.866666666666667,289.576413875,1011.6166666666667
Baoding,2022-08-25,32.375,23.462500000000002,67.45833333333333,7.0125,429.1458504583333,1008.6958333333333
Baoding,2022-08-26,31.170833333333334,22.45,63.75,10.508333333333335,279.95568183333336,1008.9499999999999
Baoding,2022-08-27,27.099999999999998,20.025,47.166666666666664,6.195833333333333,400.25617995833335,1015.5458333333332
Baoding,2022-08-28,30.766666666666666,18.116666666666667,72.0,7.854166666666667,320.58376875,1014.2458333333334
Baoding,2022-08-29,49.62916666666666,18.404166666666665,83.45833333333333,6.108333333333333,386.48268291666665,1013.4625
Baoding,2022-08-30,78.7375,21.025000000000002,84.70833333333333,5.741666666666667,307.14191275,1012.7458333333334
Baoding,2022-08-31,56.824999999999996,23.145833333333332,71.95833333333333,5.308333333333334,393.3924680416667,1011.9916666666667
Baoding,2022-09-01,31.65416666666667,21.866666666666664,66.70833333333333,12.333333333333334,420.379717125,1017.0833333333334
Baoding,2022-09-02,47.56666666666666,21.379166666666666,78.91666666666667,4.291666666666667,361.0331146666667,1017.2416666666667
Baoding,2022-09-03,50.56666666666666,22.3875,78.41666666666667,5.145833333333333,308.17018,1012.8541666666666
Baoding,2022-09-04,62.675000000000004,22.96666666666667,82.33333333333333,5.541666666666667,406.57761174999996,1007.8333333333334
